naics	susb_statenaics_firms	yr	state
11	15	2001	IL
21	51	2001	IL
22	47	2001	IL
23	863	2001	IL
31	3130	2001	IL
42	2552	2001	IL
44	1954	2001	IL
48	766	2001	IL
51	587	2001	IL
52	1116	2001	IL
53	464	2001	IL
54	1488	2001	IL
55	1162	2001	IL
56	1371	2001	IL
61	451	2001	IL
62	1657	2001	IL
71	324	2001	IL
72	1355	2001	IL
81	923	2001	IL
95	376	2001	IL
99	0	2001	IL
11	7	2001	IN
21	42	2001	IN
22	30	2001	IN
23	456	2001	IN
31	2023	2001	IN
42	1198	2001	IN
44	1196	2001	IN
48	411	2001	IN
51	233	2001	IN
52	492	2001	IN
53	231	2001	IN
54	512	2001	IN
55	548	2001	IN
56	558	2001	IN
61	153	2001	IN
62	842	2001	IN
71	140	2001	IN
72	826	2001	IN
81	473	2001	IN
95	182	2001	IN
99	0	2001	IN
11	14	2001	IA
21	19	2001	IA
22	22	2001	IA
23	217	2001	IA
31	812	2001	IA
42	696	2001	IA
44	728	2001	IA
48	219	2001	IA
51	158	2001	IA
52	302	2001	IA
53	138	2001	IA
54	228	2001	IA
55	272	2001	IA
56	271	2001	IA
61	112	2001	IA
62	645	2001	IA
71	72	2001	IA
72	432	2001	IA
81	203	2001	IA
95	85	2001	IA
99	0	2001	IA
11	4	2001	KS
21	63	2001	KS
22	20	2001	KS
23	221	2001	KS
31	666	2001	KS
42	718	2001	KS
44	723	2001	KS
48	196	2001	KS
51	160	2001	KS
52	336	2001	KS
53	144	2001	KS
54	341	2001	KS
55	319	2001	KS
56	338	2001	KS
61	101	2001	KS
62	564	2001	KS
71	79	2001	KS
72	436	2001	KS
81	224	2001	KS
95	108	2001	KS
99	0	2001	KS
11	10	2001	KY
21	85	2001	KY
22	34	2001	KY
23	322	2001	KY
31	1022	2001	KY
42	733	2001	KY
44	891	2001	KY
48	299	2001	KY
51	168	2001	KY
52	343	2001	KY
53	157	2001	KY
54	342	2001	KY
55	326	2001	KY
56	359	2001	KY
61	129	2001	KY
62	524	2001	KY
71	85	2001	KY
72	659	2001	KY
81	289	2001	KY
95	154	2001	KY
99	0	2001	KY
11	16	2001	LA
21	191	2001	LA
22	31	2001	LA
23	386	2001	LA
31	635	2001	LA
42	773	2001	LA
44	842	2001	LA
48	368	2001	LA
51	137	2001	LA
52	347	2001	LA
53	208	2001	LA
54	412	2001	LA
55	295	2001	LA
56	442	2001	LA
61	161	2001	LA
62	669	2001	LA
71	109	2001	LA
72	578	2001	LA
81	376	2001	LA
95	93	2001	LA
99	0	2001	LA
11	9	2001	ME
21	4	2001	ME
22	16	2001	ME
23	74	2001	ME
31	288	2001	ME
42	262	2001	ME
