state_name	susb_state_firms	yr	state
Rhode Island	2406	2013	RI
South Carolina	7119	2013	SC
South Dakota	2126	2013	SD
Tennessee	10095	2013	TN
Texas	30895	2013	TX
Utah	5282	2013	UT
Vermont	1600	2013	VT
Virginia	12396	2013	VA
Washington	10300	2013	WA
West Virginia	3155	2013	WV
Wisconsin	9904	2013	WI
Wyoming	1637	2013	WY
Alabama	7341	2014	AL
Alaska	1620	2014	AK
Arizona	9654	2014	AZ
Arkansas	4853	2014	AR
California	40840	2014	CA
Colorado	9912	2014	CO
Connecticut	6556	2014	CT
Delaware	2862	2014	DE
District of Columbia	3352	2014	DC
Florida	21015	2014	FL
Georgia	14228	2014	GA
Hawaii	2715	2014	HI
Idaho	3109	2014	ID
Illinois	19779	2014	IL
Indiana	10699	2014	IN
Iowa	5974	2014	IA
Kansas	6195	2014	KS
Kentucky	7030	2014	KY
Louisiana	7870	2014	LA
Maine	2709	2014	ME
Maryland	9732	2014	MD
Massachusetts	11716	2014	MA
Michigan	13290	2014	MI
Minnesota	10410	2014	MN
Mississippi	4507	2014	MS
Missouri	10288	2014	MO
Montana	2119	2014	MT
Nebraska	4222	2014	NE
Nevada	5634	2014	NV
New Hampshire	3155	2014	NH
New Jersey	13101	2014	NJ
New Mexico	3721	2014	NM
New York	24325	2014	NY
North Carolina	13346	2014	NC
North Dakota	2299	2014	ND
Ohio	17015	2014	OH
Oklahoma	6750	2014	OK
Oregon	7052	2014	OR
Pennsylvania	18720	2014	PA
Rhode Island	2433	2014	RI
South Carolina	7222	2014	SC
South Dakota	2188	2014	SD
Tennessee	10197	2014	TN
Texas	31713	2014	TX
Utah	5441	2014	UT
Vermont	1617	2014	VT
Virginia	12542	2014	VA
Washington	10539	2014	WA
West Virginia	3193	2014	WV
Wisconsin	10048	2014	WI
Wyoming	1706	2014	WY
Alabama	7410	2015	AL
Alaska	1629	2015	AK
Arizona	9859	2015	AZ
Arkansas	4943	2015	AR
California	41731	2015	CA
Colorado	10141	2015	CO
Connecticut	6639	2015	CT
Delaware	2866	2015	DE
District of Columbia	3423	2015	DC
Florida	21593	2015	FL
Georgia	14631	2015	GA
Hawaii	2735	2015	HI
Idaho	3183	2015	ID
Illinois	20017	2015	IL
Indiana	10832	2015	IN
Iowa	6090	2015	IA
Kansas	6323	2015	KS
Kentucky	7100	2015	KY
Louisiana	8005	2015	LA
Maine	2763	2015	ME
Maryland	9844	2015	MD
Massachusetts	11895	2015	MA
Michigan	13517	2015	MI
Minnesota	10578	2015	MN
Mississippi	4584	2015	MS
Missouri	10449	2015	MO
Montana	2180	2015	MT
Nebraska	4292	2015	NE
Nevada	5758	2015	NV
New Hampshire	3242	2015	NH
New Jersey	13149	2015	NJ
New Mexico	3760	2015	NM
New York	24563	2015	NY
North Carolina	13528	2015	NC
North Dakota	2356	2015	ND
Ohio	17302	2015	OH
Oklahoma	6824	2015	OK
Oregon	7164	2015	OR
Pennsylvania	18913	2015	PA
Rhode Island	2457	2015	RI
South Carolina	7456	2015	SC
South Dakota	2211	2015	SD
Tennessee	10355	2015	TN
Texas	32461	2015	TX
Utah	5636	2015	UT
Vermont	1642	2015	VT
Virginia	12660	2015	VA
Washington	10806	2015	WA
West Virginia	3174	2015	WV
Wisconsin	10249	2015	WI
Wyoming	1724	2015	WY
Alabama	7528	2016	AL
Alaska	1640	2016	AK
Arizona	10016	2016	AZ
Arkansas	4992	2016	AR
California	42214	2016	CA
Colorado	10319	2016	CO
Connecticut	6742	2016	CT
Delaware	2894	2016	DE
District of Columbia	3495	2016	DC
Florida	22133	2016	FL
Georgia	14794	2016	GA
Hawaii	2809	2016	HI
Idaho	3285	2016	ID
Illinois	20175	2016	IL
Indiana	10971	2016	IN
Iowa	6145	2016	IA
Kansas	6289	2016	KS
Kentucky	7201	2016	KY
Louisiana	7900	2016	LA
Maine	2802	2016	ME
Maryland	9994	2016	MD
Massachusetts	12137	2016	MA
Michigan	13713	2016	MI
Minnesota	10678	2016	MN
Mississippi	4639	2016	MS
Missouri	10556	2016	MO
Montana	2220	2016	MT
Nebraska	4339	2016	NE
Nevada	5862	2016	NV
New Hampshire	3302	2016	NH
New Jersey	13418	2016	NJ
New Mexico	3768	2016	NM
New York	24933	2016	NY
North Carolina	13819	2016	NC
North Dakota	2276	2016	ND
Ohio	17460	2016	OH
Oklahoma	6784	2016	OK
Oregon	7352	2016	OR
Pennsylvania	18955	2016	PA
Rhode Island	2532	2016	RI
South Carolina	7648	2016	SC
South Dakota	2229	2016	SD
Tennessee	10579	2016	TN
Texas	32536	2016	TX
Utah	5738	2016	UT
Vermont	1675	2016	VT
Virginia	12820	2016	VA
Washington	10987	2016	WA
West Virginia	3163	2016	WV
Wisconsin	10361	2016	WI
Wyoming	1678	2016	WY
Alabama	7724	2017	AL
Alaska	1520	2017	AK
Arizona	10284	2017	AZ
Arkansas	4998	2017	AR
California	43102	2017	CA
Colorado	10566	2017	CO
Connecticut	6729	2017	CT
Delaware	2880	2017	DE
District of Columbia	3491	2017	DC
Florida	22896	2017	FL
Georgia	15119	2017	GA
Hawaii	2804	2017	HI
Idaho	3394	2017	ID
Illinois	20353	2017	IL
Indiana	11232	2017	IN
Iowa	6153	2017	IA
Kansas	6347	2017	KS
Kentucky	7345	2017	KY
Louisiana	7927	2017	LA
Maine	2774	2017	ME
Maryland	10255	2017	MD
Massachusetts	12399	2017	MA
Michigan	14046	2017	MI
Minnesota	10787	2017	MN
Mississippi	4604	2017	MS
Missouri	10637	2017	MO
Montana	2186	2017	MT
Nebraska	4331	2017	NE
Nevada	6080	2017	NV
New Hampshire	3343	2017	NH
New Jersey	13694	2017	NJ
New Mexico	3867	2017	NM
New York	25285	2017	NY
North Carolina	14186	2017	NC
North Dakota	2226	2017	ND
Ohio	17684	2017	OH
Oklahoma	6819	2017	OK
Oregon	7544	2017	OR
Pennsylvania	19348	2017	PA
Rhode Island	2485	2017	RI
South Carolina	7856	2017	SC
South Dakota	2208	2017	SD
Tennessee	10836	2017	TN
Texas	33324	2017	TX
Utah	5903	2017	UT
Vermont	1578	2017	VT
Virginia	13082	2017	VA
Washington	11235	2017	WA
West Virginia	3169	2017	WV
Wisconsin	10494	2017	WI
Wyoming	1598	2017	WY
